"","X","Y","Class","X2015.04._1","X2015.04._2","X2015.04._3","X2015.04._4","X2015.04._5","X2015.04._6","X2015.04._7","X2015.04._8"
"71",791347.1041,1429812.351,2,14316,14280,14517,15218,17718,17420,14926,5099
"59",777856.6789,1436232.859,1,11117,10420,10536,13220,16048,22693,18901,5108
"125",782159.811,1452471.875,2,12698,12348,13961,15456,20383,21403,17457,5125
"13",771986.4085,1451951.428,1,11007,10412,10979,13612,18214,23652,18770,5163
"105",772850.154,1441328.958,2,13221,13521,10492,9913,17169,15466,13330,5126
"108",773362.0032,1442499.013,2,13395,12827,10287,9190,19347,16143,14031,5146
"181",790560.3404,1443809.426,1,12410,12433,14864,18679,15711,11197,8951,5161
"82",798020.3379,1446159.535,2,12939,12813,13564,14214,19467,17444,14308,5131
"121",790040.2892,1418367.723,2,13996,13340,11062,10272,15916,16397,14342,5114
"38",774339.3152,1440014.145,1,11848,11321,11700,12872,15694,17153,15297,5155
"137",776795.8264,1414843.312,3,11589,10937,11502,10701,9877,8715,7951,5097
"192",764093.4052,1431382.026,4,10729,10010,9683,8621,7349,6154,5738,5039
"61",795304.3382,1449486.554,1,11309,10787,11670,14159,18849,22634,17308,5169
"86",788103.2599,1423497.412,2,12208,11863,12529,14050,17733,19268,16428,5097
"164",756538.1667,1453145.71,3,11524,11040,11776,11417,8932,7300,6641,5194
"143",789242.6138,1431945.112,3,10210,9279,9594,7612,32887,13348,8076,5099
"44",800985.8642,1427403.461,1,10819,10147,10411,12433,16344,21083,16713,5090
"76",786260.6028,1439652.652,2,13578,13350,13929,14979,17273,17869,16336,5145
"211",784170.5939,1436376.181,4,10760,9871,8988,8055,7817,5987,5637,5049
"145",787304.2188,1433162.577,3,10998,10440,10734,10036,13510,10802,8547,5120
"112",781578.7822,1433534.454,2,15242,14551,11251,10680,15453,16586,17029,5103
"148",788207.7687,1428650.795,3,10378,9484,9036,8347,13870,13596,10244,5099
"111",773952.2293,1431538.243,2,12891,12330,10252,9284,16613,16153,15468,5100
"154",803340.1402,1432829.564,3,10188,9264,9214,7867,22912,12782,8331,5109
"215",789786.1855,1431240.071,4,11062,10239,9711,8566,8364,5826,5496,5043
"35",812195.3615,1431723.788,1,11113,10662,11230,13539,18575,23400,17884,5114
"156",805708.2286,1429544.797,3,10222,9322,8851,7965,18512,11166,7708,5111
"178",759028.0016,1431980.92,1,11630,11092,11690,14299,19158,26632,20964,5151
"110",776211.5636,1433334.513,2,12959,12963,10508,9844,19117,17131,17703,5109
"56",795534.6703,1430231.428,1,11003,10382,10938,12847,17182,21186,16499,5127
"97",782959.1755,1430855.244,2,12707,12434,12948,13674,15042,15613,14405,5085
"183",791687.0921,1441450.886,2,11856,11281,11952,12730,17492,16646,13769,5128
"69",790656.1077,1431597.425,2,12550,12431,14720,17854,20663,20904,15289,5105
"187",781473.1455,1451177.509,4,10645,9786,9114,8079,7423,5881,5528,5062
"135",778018.0656,1411147.948,3,10057,9131,8551,7607,14367,11016,8146,5096
"172",804711.5785,1446843.539,1,12173,11865,13487,16505,20102,24186,18616,5110
"203",781555.176,1450783.357,4,10650,9792,9073,8114,7454,5904,5551,5057
"220",782773.5762,1424237.325,4,10784,9898,8879,8181,7926,6692,6229,5054
"189",774882.5901,1420521.389,4,10508,9831,9597,8353,7773,5849,5499,5059
"25",769657.4947,1417580.755,1,11005,10346,10435,12493,16377,21993,18586,5107
"63",798145.1012,1450267.124,1,11008,10408,11119,12970,18959,21929,16524,5134
"162",809638.7302,1421825.831,3,10566,9718,10004,9291,23202,16328,11307,5100
"209",785067.825,1448899.088,4,11405,10939,11395,10441,8375,6506,5980,5057
"205",783741.8582,1451399.815,4,10885,10054,9395,8616,7895,6282,5857,5059
"208",784893.3557,1450434.418,4,10861,10101,9366,8900,8341,7228,6605,5066
